,,,
,,Day 1 - 25th November 2024,
,,,
,,All times are GMT,
,,,
,,,
,,,
9:30,Registration & Exhibition,,
,,,
10:30,Dave Barry,Francis Crick Institute,Welcome
,,,
Session 1,Smart Microscopy,Chair: Giulia Paci,
10:45,Suliana Manley,EPFL,Smart Microscopy Reveals Mechanisms for Mitochondrial Content Management
11:15,Khalid A. Ibrahim,EPFL,Intelligent and Self-Driving Microscopy of Protein Aggregation
11:30,Richard Marsh,King's College London,Pitfalls of common image quality metrics used for assessing fluorescence microscopy data.
11:45,Maadhav Kothari,Glencoe Software,Integrating Image Data Management and Analysis: End-to-end Spatial Biology Workflows in OMERO Plus
11:55,Sarawuth Wantha,ThermoFisher Scientific,Leveraging Advanced Image Analysis Using Amira Software AI Capabilities for BioImage Segmentation
12:05,Sumin Lee,TomoCube,"Holotomography: Advanced Label-Free 3D Imaging and Quantitative Analysis for Cells, Tissues, and Organoids"
,,,
12:15,"Lunch, Exhibition & Poster Session 1",,
,,,
Session 2,AI: What Can('t) it do?,Chair: Natalie Holroyd,
13:50,Laura Wiggins,University of Sheffield,Doubling discovery: the powerful fusion of atomic force microscopy and molecular dynamics simulations through deep learning
14:05,Rolf Harkes,Netherlands Cancer Institute,Predicting cell types from H&E using multiplex imaging and deep learning
14:20,Ziying (Alicia) Yang,University of Melbourne,Development of a machine learning segmentation model and post-processing Python pipeline for quantitative 3D ultrastructural analysis of axons in a mixed visceral nerve
14:35,Norman Rzepka,Scalable Minds,"WEBKNOSSOS + OME-Zarr: AI-based, collaborative annotation and sharing of large 3D images"
14:40,Pip Timmins,ONi,Collaborative Discovery with ONi - streamlined software workflows for analysis of SMLM data from the Nanoimager
14:45,Georgia Golfis,Oxford Instruments ,IMARIS - AI Powered 3D/4D Image Analysis Software
,,,
14:55,Coffee Break,,
,,,
Session 3,,Chair: Siân Culley,
15:30,Assaf Zaritsky,Ben-Gurion University of the Negev,Visual interpretability of deep learning models in cell imaging
,,,
Panel Discussion 1,Chair: Amy Strange,,
16:00,"Assaf Zaritsky
Lydia France
Xiaoxuan Liu","Ben-Gurion University of the Negev
Alan Turing Institute
University of Birmingham",(Generative) AI and its implications for bioimage analysis
,,,
16:50,Flash Talks,,
,,,
17:20,Drinks Reception & Poster Session 2,,
,,,
19:00,Evening Social,"Mare Street Market, 2 Lewis Cubitt Square, N1C 4DY",
