,,,
,,Day 2 - 26th November 2024,
,,,
,,All times are GMT,
,,,
,,,
,,,
,,,
9:25,Dave Barry,Francis Crick Institute,Welcome
,,,
Session 4,BioMedical Applications of Image Analysis,Chair: Olatz Niembro-Vivanco,
9:30,Christophe Leterrier,Aix Marseille University,Zooming in on axonal endocytosis
10:00,Gebhard Stopper,Saarland University,Precision Immunotherapy: Identifying Serial Killer Cells through High-Resolution Single-Cell Analysis
10:15,Guillaume Jacquemet,Åbo Akademi University,Studying cancer cell metastasis in the era of deep learning for microscopy
10:45,Haseeb Qureshi,University of Sheffield,Tracking of microtubule growth during epithelial morphogenesis in inner ear development
11:00,Christopher Storey,Evident Scientific,A New Product Introduction
11:10,Daniel Hansen ,Zeiss,"ZEISS Arivis, a brief introduction"
,,,
11:15,Coffee Break,,
,,,
Session 2,BioImage Analysis Community Initiatives,Chair: Alessandro Felder,
11:45,Aastha Mathur,Euro-BioImaging ERIC,Euro-BioImaging: Supporting FAIR image data and analysis services
12:15,Sophia C. Maedler,Max Planck Institute of Biochemistry,scPortrait: Building single cell representations based on microscopy images
12:30,Anna Klemm,Uppsala University,Insights to providing bioimage analysis support by the SciLifeLab Bioimage Informatics unit (BIIF)
,,,
13:00,Lunch & Exhibition,,
,,,
Session 6,,Chair: Martin Jones,
14:25,Tom Slater,University of Cardiff,Experiences of community building in microscopy and image analysis
,,,
Panel Discussion 2,Chair: Tom Slater,,
14:55,"Aastha Mathur
Anna Klemm
Stephen Cross","EMBL Heidelberg
Uppsala University
University of Bristol",BioImage Analysis Community Initiatives
,,,
15:45,Dave Barry,Francis Crick Institute,Concluding Remarks
,,,
16:00,End Symposium,,
