Which of the following best describes you?,Points - Which of the following best describes you?,Feedback - Which of the following best describes you?,"Which of the following do you have significant formal training in or experience with?
","Points - Which of the following do you have significant formal training in or experience with?
","Feedback - Which of the following do you have significant formal training in or experience with?
","Did you attend in person or online?
","Points - Did you attend in person or online?
","Feedback - Did you attend in person or online?
","What was your overall level of satisfaction with the symposium?
","Points - What was your overall level of satisfaction with the symposium?
","Feedback - What was your overall level of satisfaction with the symposium?
","Points - Please state whether you agree or disagree with the following statements
","Feedback - Please state whether you agree or disagree with the following statements
",The ticket prices were too high,Points - The ticket prices were too high,Feedback - The ticket prices were too high,The symposium was well organised,Points - The symposium was well organised,Feedback - The symposium was well organised,The content of the talks was sufficiently varied,Points - The content of the talks was sufficiently varied,Feedback - The content of the talks was sufficiently varied,The standard of the talks was high,Points - The standard of the talks was high,Feedback - The standard of the talks was high,Early career researchers were well-represented,Points - Early career researchers were well-represented,Feedback - Early career researchers were well-represented,I had enough opportunities to ask questions,Points - I had enough opportunities to ask questions,Feedback - I had enough opportunities to ask questions,I had enough opportunities to network,Points - I had enough opportunities to network,Feedback - I had enough opportunities to network,Enough food and drink was provided,Points - Enough food and drink was provided,Feedback - Enough food and drink was provided,The Francis Crick Institute was an appropriate venue for the symposium,Points - The Francis Crick Institute was an appropriate venue for the symposium,Feedback - The Francis Crick Institute was an appropriate venue for the symposium,I enjoyed the evening social,Points - I enjoyed the evening social,Feedback - I enjoyed the evening social,The organisers made enough effort to include virtual attendees in proceedings,Points - The organisers made enough effort to include virtual attendees in proceedings,Feedback - The organisers made enough effort to include virtual attendees in proceedings,There were too many tech bite talks from sponsors,Points - There were too many tech bite talks from sponsors,Feedback - There were too many tech bite talks from sponsors,"Points - Please complete the following statements:
","Feedback - Please complete the following statements:
",The average duration of the sessions was...,Points - The average duration of the sessions was...,Feedback - The average duration of the sessions was...,The duration of the discussion panels was...,Points - The duration of the discussion panels was...,Feedback - The duration of the discussion panels was...,The duration of the poster sessions was...,Points - The duration of the poster sessions was...,Feedback - The duration of the poster sessions was...,The duration of the coffee and lunch breaks was...,Points - The duration of the coffee and lunch breaks was...,Feedback - The duration of the coffee and lunch breaks was...,"Is there anything else you would like to add?
","Points - Is there anything else you would like to add?
","Feedback - Is there anything else you would like to add?
"
PhD student,,,Machine Learning;Computer Vision;Electrical/Computer Engineering;Computer Science;,,,In Person,,,7,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Neither Agree nor Disagree,,,,,About Right,,,Too Long,,,About Right,,,About Right,,,I did not like the lunch options on the 2nd day at all. Receiving a menu beforehand would be nice.,,
Facility staff,,,Cell/Molecular Biology;,,,Online,,,5,,,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Agree,,,Agree,,,,,About Right,,,Too Long,,,Not Applicable,,,About Right,,,,,
Image/data analyst,,,Computer Science;Image Analysis/Processing;Software Engineering;Computer Vision;,,,In Person,,,7,,,,,Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Disagree,,,Agree,,,Strongly Agree,,,Agree,,,Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,"The organisers did an amazing job!
Thank you",,
Software engineer,,,Software Engineering;Image Analysis/Processing;Physics/Biophysics;,,,In Person,,,6,,,,,Strongly Disagree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Disagree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Disagree,,,,,Too Long,,,Too Short,,,Too Short,,,About Right,,,Community talk by Tom was great - might be good to work towards some of his suggestions for CBIAS 2025,,
Facility staff,,,Physics/Biophysics;Cell/Molecular Biology;Image Analysis/Processing;,,,In Person,,,6,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Not Applicable,,,Neither Agree nor Disagree,,,,,About Right,,,Too Long,,,Too Short,,,About Right,,,Thanks for organizing!,,
Facility staff,,,Physics/Biophysics;Image Analysis/Processing;Statistics/Biostatistics;Electrical/Computer Engineering;Software Engineering;,,,In Person,,,4,,,,,Disagree,,,Agree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Strongly Disagree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Agree,,,Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,Improve food quantity and more speakers selected from the abstracts. ,,
Image/data analyst,,,Chemistry/Biochemistry;,,,Online,,,7,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Agree,,,Neither Agree nor Disagree,,,,,About Right,,,About Right,,,Not Applicable,,,About Right,,,,,
Postdoctoral fellow,,,Cell/Molecular Biology;Developmental Biology;,,,In Person,,,7,,,,,Disagree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Not Applicable,,,Disagree,,,Strongly Agree,,,,,About Right,,,About Right,,,About Right,,,Too Long,,,,,
PhD student,,,Computer Science;Image Analysis/Processing;Machine Learning;,,,In Person,,,7,,,,,Disagree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,,,
Research scientist/associate/staff,,,Cell/Molecular Biology;Medicine;Statistics/Biostatistics;Image Analysis/Processing;Computer Vision;Machine Learning;,,,In Person,,,6,,,,,Strongly Disagree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Disagree,,,,,About Right,,,About Right,,,Too Short,,,About Right,,,,,
Research scientist/associate/staff,,,Cell/Molecular Biology;Image Analysis/Processing;Machine Learning;,,,Online,,,7,,,,,Strongly Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Not Applicable,,,Agree,,,Not Applicable,,,Agree,,,Strongly Disagree,,,,,About Right,,,About Right,,,Not Applicable,,,Not Applicable,,,,,
PhD student,,,Cell/Molecular Biology;Statistics/Biostatistics;Chemistry/Biochemistry;Computer Science;,,,In Person,,,5,,,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Not Applicable,,,Agree,,,Neither Agree nor Disagree,,,,,About Right,,,About Right,,,About Right,,,Too Long,,,,,
Postdoctoral fellow,,,Cell/Molecular Biology;Software Engineering;,,,In Person,,,6,,,,,Disagree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Disagree,,,Agree,,,Not Applicable,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,The lunches were a bit too difficult to eat without tables!  Either more tables or sandwiches/finger food would be better.,,
Facility staff,,,Chemistry/Biochemistry;Cell/Molecular Biology;Image Analysis/Processing;,,,In Person,,,7,,,,,Disagree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Disagree,,,,,About Right,,,Too Long,,,Too Short,,,About Right,,,,,
Principal investigator,,,Physics/Biophysics;Image Analysis/Processing;,,,In Person,,,6,,,,,Strongly Disagree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Disagree,,,Agree,,,Disagree,,,Disagree,,,Disagree,,,,,About Right,,,About Right,,,Too Short,,,Too Short,,,"There wasn't enough Vegan food at the even social, and the canapees were too small to be considered a full meal. But, everything else was great.",,
Image/data analyst,,,Image Analysis/Processing;Cell/Molecular Biology;,,,In Person,,,5,,,,,Agree,,,Strongly Agree,,,Disagree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,,,About Right,,,Too Long,,,Too Long,,,About Right,,,,,
Software engineer,,,Computer Science;Computer Vision;Machine Learning;Software Engineering;Image Analysis/Processing;Statistics/Biostatistics;,,,In Person,,,7,,,,,Neither Agree nor Disagree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,,,Too Long,,,Far Too Long,,,Too Short,,,About Right,,,,,
Research scientist/associate/staff,,,Image Analysis/Processing;Computer Science;Computer Vision;Software Engineering;Machine Learning;,,,In Person,,,6,,,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Disagree,,,Agree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Agree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,,,
Image/data analyst,,,Cell/Molecular Biology;Physics/Biophysics;,,,Online,,,6,,,,,Disagree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,,,Too Long,,,Too Long,,,Not Applicable,,,About Right,,,,,
Facility staff,,,Developmental Biology;,,,Online,,,6,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Not Applicable,,,Not Applicable,,,Strongly Agree,,,Not Applicable,,,Agree,,,Neither Agree nor Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,Napari workshop online,,
Facility director/manager,,,Physics/Biophysics;,,,Online,,,5,,,,,Strongly Disagree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Agree,,,Not Applicable,,,Agree,,,Disagree,,,,,About Right,,,About Right,,,Not Applicable,,,Not Applicable,,,I would like to have more talks about actual image analysis and less about community initiatives. At times it was just long lists of groups and initiatives without much content. ,,
Research scientist/associate/staff,,,Image Analysis/Processing;Computer Vision;Machine Learning;,,,In Person,,,7,,,,,Strongly Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Disagree,,,,,About Right,,,About Right,,,Too Short,,,Too Short,,,,,
Research scientist/associate/staff,,,Physics/Biophysics;Statistics/Biostatistics;,,,In Person,,,7,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Disagree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,,,
Postdoctoral fellow,,,Physics/Biophysics;Image Analysis/Processing;,,,In Person,,,6,,,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Disagree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Disagree,,,,,About Right,,,About Right,,,Too Short,,,Too Short,,,"To help with travel and accommodation costs for participants, I was wondering if you could provide some bursaries or travel grants for us to apply for at future events? Or any registration discounts would also be helpful.

Thank you again for organising this wonderful symposium and I look forward to attending the next one somewhere (maybe not in Crick as mentioned during the event).",,
Facility staff,,,Cell/Molecular Biology;Electrical/Computer Engineering;,,,In Person,,,7,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Disagree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,It was a well organized symposium with good talks. The organizers demonstrated great ability in throwing the microphone.,,
Postdoctoral fellow,,,Image Analysis/Processing;Computer Science;Machine Learning;Computer Vision;,,,In Person,,,6,,,,,Strongly Disagree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Disagree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Disagree,,,,,About Right,,,Too Short,,,About Right,,,About Right,,,,,
Software engineer,,,Cell/Molecular Biology;Image Analysis/Processing;Computer Science;Software Engineering;,,,In Person,,,6,,,,,Strongly Disagree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Disagree,,,,,About Right,,,Too Short,,,About Right,,,About Right,,,,,
Postdoctoral fellow,,,Developmental Biology;Statistics/Biostatistics;Image Analysis/Processing;Computer Vision;,,,In Person,,,7,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Neither Agree nor Disagree,,,,,About Right,,,About Right,,,Too Short,,,About Right,,,"I think it was an overall great symposium, but the only bioimaging represented was cellular based sciences. Imaging is used in other strata of biology, such as ecology and evolution - they use varied an interesting analytical techniques that would be interesting to add to the conference.",,
Image/data analyst,,,Physics/Biophysics;,,,In Person,,,6,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Disagree,,,,,About Right,,,Not Applicable,,,About Right,,,About Right,,,,,
Facility staff,,,Chemistry/Biochemistry;Cell/Molecular Biology;Developmental Biology;Statistics/Biostatistics;Image Analysis/Processing;,,,In Person,,,7,,,,,Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Not Applicable,,,Strongly Agree,,,Not Applicable,,,Strongly Agree,,,Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,,,
Image/data analyst,,,Physics/Biophysics;Image Analysis/Processing;Machine Learning;,,,In Person,,,6,,,,,Strongly Disagree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Disagree,,,Agree,,,Strongly Agree,,,Not Applicable,,,Neither Agree nor Disagree,,,,,About Right,,,About Right,,,Too Long,,,About Right,,,,,
PhD student,,,Physics/Biophysics;Medicine;,,,In Person,,,6,,,,,Disagree,,,Agree,,,Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Agree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,,,
Postdoctoral fellow,,,Cell/Molecular Biology;Software Engineering;Computer Vision;Machine Learning;Image Analysis/Processing;,,,In Person,,,6,,,,,Strongly Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Not Applicable,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,,,About Right,,,About Right,,,Too Short,,,About Right,,,Please ensure that a proper dinner is provided at the social event. This made me leave early because I needed to go get dinner at a restaurant.,,
