Which of the following best describes you?,Points - Which of the following best describes you?,Feedback - Which of the following best describes you?,"Did you attend in person or online?
","Points - Did you attend in person or online?
","Feedback - Did you attend in person or online?
","What was your overall level of satisfaction with the symposium?
","Points - What was your overall level of satisfaction with the symposium?
","Feedback - What was your overall level of satisfaction with the symposium?
","Points - Please state whether you agree or disagree with the following statements
","Feedback - Please state whether you agree or disagree with the following statements
",The ticket prices were appropriate,Points - The ticket prices were appropriate,Feedback - The ticket prices were appropriate,The symposium was well organised,Points - The symposium was well organised,Feedback - The symposium was well organised,The content of the talks was sufficiently varied,Points - The content of the talks was sufficiently varied,Feedback - The content of the talks was sufficiently varied,The standard of the talks was high,Points - The standard of the talks was high,Feedback - The standard of the talks was high,Early career researchers were well-represented,Points - Early career researchers were well-represented,Feedback - Early career researchers were well-represented,There was an appropriate number of tech bite talks from sponsors,Points - There was an appropriate number of tech bite talks from sponsors,Feedback - There was an appropriate number of tech bite talks from sponsors,I had enough opportunities to ask questions,Points - I had enough opportunities to ask questions,Feedback - I had enough opportunities to ask questions,I had enough opportunities to network,Points - I had enough opportunities to network,Feedback - I had enough opportunities to network,The symposium started and finished at appropriate times on each day,Points - The symposium started and finished at appropriate times on each day,Feedback - The symposium started and finished at appropriate times on each day,The sessions were an appropriate length,Points - The sessions were an appropriate length,Feedback - The sessions were an appropriate length,The discussion panels were an appropriate length,Points - The discussion panels were an appropriate length,Feedback - The discussion panels were an appropriate length,The poster session was an appropriate length,Points - The poster session was an appropriate length,Feedback - The poster session was an appropriate length,The coffee and lunch breaks were long enough,Points - The coffee and lunch breaks were long enough,Feedback - The coffee and lunch breaks were long enough,Enough food and drink was provided,Points - Enough food and drink was provided,Feedback - Enough food and drink was provided,The Francis Crick Institute was an appropriate venue for the symposium,Points - The Francis Crick Institute was an appropriate venue for the symposium,Feedback - The Francis Crick Institute was an appropriate venue for the symposium,I enjoyed the evening social,Points - I enjoyed the evening social,Feedback - I enjoyed the evening social,I found interactions on Slack useful,Points - I found interactions on Slack useful,Feedback - I found interactions on Slack useful,The organisers made enough effort to include virtual attendees in proceedings,Points - The organisers made enough effort to include virtual attendees in proceedings,Feedback - The organisers made enough effort to include virtual attendees in proceedings,"Is there anything else you would like to add?
","Points - Is there anything else you would like to add?
","Feedback - Is there anything else you would like to add?
"
"Undergraduate Student
",,,In Person,,,6,,,,,Not Applicable,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Disagree,,,Strongly Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,,,
"Group/Facility Lead
",,,In Person,,,6,,,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Disagree,,,Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,"I don't use slack, maybe point this out before the conference so that I download the app.",,
"Non-Academic
",,,In Person,,,7,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Not Applicable,,,"It was really interesting and well organised, perfection in all the details! ",,
Staff Scientist / Facility Staff,,,Online,,,5,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Not Applicable,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Strongly Agree,,,Agree,,,Some of the presenter and questions were impossible to hear because the speakers didn't talk into the microphone. It would had been great if a clip-on microphone had been used instead of the desk microphone.,,
"Group/Facility Lead
",,,Online,,,5,,,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Neither Agree nor Disagree,,,Not Applicable,,,Agree,,,Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Agree,,,Agree,,,"excellent to provide an online/virtual access, would have loved to see the posters as well but understand that this is hard to implement",,
"Non-Academic
",,,In Person,,,7,,,,,Not Applicable,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,,,
Staff Scientist / Facility Staff,,,In Person,,,6,,,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Agree,,,,,
Staff Scientist / Facility Staff,,,Online,,,5,,,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Disagree,,,Strongly Disagree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Disagree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Agree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Disagree,,,"I really enjoyed the commercial talks, and I think they should occupy a larger space. They are trying to make effort to be open and showcase what they worked on in Image analysis field, and I rely on some of those softwares, I would have liked to see more of what they are working on. Otherwise, the symposium was great but only very few questions from the online chat was asked or replied, even after the symposium. It would be great if it could be mandatory for the speaker to sit in front of zoom after their talk to write answers to the chat. Kudos to the organizers, that was great. ",,
Other,,,Online,,,7,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Strongly Agree,,,Not Applicable,,,Strongly Agree,,,Strongly Agree,,,,,
"PhD Student
",,,In Person,,,6,,,,,Not Applicable,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Strongly Agree,,,,,
Staff Scientist / Facility Staff,,,In Person,,,6,,,,,Strongly Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Not Applicable,,,Neither Agree nor Disagree,,,"Slack wasn't working on my phone, but I couldn't access wifi anyway",,
Staff Scientist / Facility Staff,,,In Person,,,7,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,,,
Staff Scientist / Facility Staff,,,Online,,,7,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Not Applicable,,,Agree,,,Agree,,,Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Strongly Agree,,,Strongly Agree,,,,,
"Non-Academic
",,,In Person,,,5,,,,,Disagree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Disagree,,,Agree,,,Strongly Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Disagree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,"1- It could be better to have more time for questions after long talks. A lot of things were mentioned in long talks, but we didn't have enough time to ask questions.
2- It would be better to use headset microphones to have a smooth high quality of voice. A traditional microphone is not good for speakers who move their hands a lot.",,
Staff Scientist / Facility Staff,,,In Person,,,7,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,"The room for the poster session was very crowded - a bit more space in future would be appreciated. 
Other than that, it was a very enjoyable symposium - I look forward to the next one!",,
"Non-Academic
",,,In Person,,,7,,,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,,,
Staff Scientist / Facility Staff,,,In Person,,,7,,,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Disagree,,,Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,"The posters were too close to each other, making it hard to read them and talk to the presenter without blocking the path/getting in each other's way.",,
Staff Scientist / Facility Staff,,,In Person,,,5,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Disagree,,,Agree,,,Not Applicable,,,Strongly Disagree,,,Not Applicable,,,"Please, have more vegan food options. Non-vegans eat the vegan food if it's not separated, and then vegans end up with nothing. It's nice to give people options, but please consider ordering more vegan food to account for the non-vegans also eating it.",,
"Non-Academic
",,,In Person,,,6,,,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Neither Agree nor Disagree,,,It was a fantastic conference from a sponsor point of view. The exhibition space was excellent from our point of view being so integrated with the auditorium and coffee/food. We had some really good interactions as a result of that.,,
"Post Doc
",,,In Person,,,6,,,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,,,
Staff Scientist / Facility Staff,,,In Person,,,7,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Neither Agree nor Disagree,,,,,
"Non-Academic
",,,In Person,,,7,,,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Not Applicable,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Not Applicable,,,Well done guys - really good event.,,
Staff Scientist / Facility Staff,,,In Person,,,6,,,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Disagree,,,Disagree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,,,
Staff Scientist / Facility Staff,,,In Person,,,6,,,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Disagree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Not Applicable,,,"The talks were nicely varied. I was so happy to interact with other facility staff and see people in person. I could speak to them about which of the tools that were presented or that are out there are actually useful on a small facility level where there is not enough data to warrant dedicated machine learning approaches. I certainly missed this opportunity last year during the online only event so very happy with it having been in person. 

I was impressed how many international speakers and attendees there were. 

Mugs instead of cups for Tea would be nice - they were just too small :) 
More fruit instead of biscuits on tea/coffee breaks. 
Lunch on the second day was a bit sparse. I was lucky to have had a big breakfast at the hotel in the morning. 
",,
Staff Scientist / Facility Staff,,,Online,,,6,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Not Applicable,,,Not Applicable,,,Agree,,,Not Applicable,,,Agree,,,Strongly Agree,,,"A headphone for some of the more “active” speakers would have been desirable.
I was unable to attend to all the talks, so a recording of them would have also been great.
Finally, I could not figure out how to look up the posters, probably there was a way, but I could not see them.
Looking forward to attending live next week.",,
"PhD Student
",,,Online,,,6,,,,,Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Strongly Agree,,,Not Applicable,,,Strongly Agree,,,Strongly Agree,,,,,
"Group/Facility Lead
",,,In Person,,,6,,,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Agree,,,Not Applicable,,,,,
"PhD Student
",,,Online,,,6,,,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Not Applicable,,,Strongly Agree,,,Agree,,,Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Neither Agree nor Disagree,,,Strongly Agree,,,,,
